05-29	22088
05-28	19637
05-21	20284
05-20	9074
05-23	23707
05-22	25890
05-25	22647
05-24	26503
05-27	9121
05-26	10121
05-30	22770
05-31	22783
05-07	20274
05-06	8949
05-05	9782
05-04	20268
05-03	22213
05-02	21775
05-01	20342
05-09	22004
05-08	22319
05-10	21717
05-11	20275
05-12	10003
05-13	9416
05-14	21306
05-15	23253
05-16	22543
05-17	22809
07-05	21157
07-04	17195
07-07	10257
07-06	19913
07-01	10371
07-03	22175
07-02	21608
06-11	21356
06-10	9572
06-13	22521
06-12	22879
06-15	20586
06-14	23271
06-17	9280
06-16	10140
06-19	22840
07-09	21964
07-08	9669
05-19	9817
05-18	21115
07-18	23228
07-19	23466
07-16	22391
07-17	24099
07-14	10521
07-15	9910
07-12	24053
07-13	21320
07-10	24135
07-11	22817
06-02	10213
06-03	9464
06-01	21768
06-06	22108
06-07	22955
06-04	21839
06-05	23371
06-08	20900
06-09	10169
07-29	10439
07-28	11006
07-23	22368
07-22	10121
07-21	10631
07-20	21185
07-27	21556
07-26	24144
07-25	23669
07-24	24354
06-30	11020
07-30	22649
07-31	24628
06-28	23698
06-29	21729
06-20	22244
06-21	22764
06-22	20636
06-23	10224
06-24	9533
06-25	21483
06-26	23186
06-27	22878
06-18	20980
